2023-03-28 05:11:06,308 INFO    MainThread:206239 [wandb_setup.py:_flush():68] Configure stats pid to 206239
2023-03-28 05:11:06,309 INFO    MainThread:206239 [wandb_setup.py:_flush():68] Loading settings from /root/.config/wandb/settings
2023-03-28 05:11:06,309 INFO    MainThread:206239 [wandb_setup.py:_flush():68] Loading settings from /root/2023GAIIC/wandb/settings
2023-03-28 05:11:06,309 INFO    MainThread:206239 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-03-28 05:11:06,309 INFO    MainThread:206239 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2023-03-28 05:11:06,309 INFO    MainThread:206239 [wandb_init.py:_log_setup():492] Logging user logs to /root/2023GAIIC/wandb/run-20230328_051106-vt4dqmnr/logs/debug.log
2023-03-28 05:11:06,309 INFO    MainThread:206239 [wandb_init.py:_log_setup():493] Logging internal logs to /root/2023GAIIC/wandb/run-20230328_051106-vt4dqmnr/logs/debug-internal.log
2023-03-28 05:11:06,309 INFO    MainThread:206239 [wandb_init.py:init():532] calling init triggers
2023-03-28 05:11:06,309 INFO    MainThread:206239 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {}
2023-03-28 05:11:06,309 INFO    MainThread:206239 [wandb_init.py:init():588] starting backend
2023-03-28 05:11:06,309 INFO    MainThread:206239 [wandb_init.py:init():592] setting up manager
2023-03-28 05:11:06,312 INFO    MainThread:206239 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-28 05:11:06,314 INFO    MainThread:206239 [wandb_init.py:init():599] backend started and connected
2023-03-28 05:11:06,317 INFO    MainThread:206239 [wandb_init.py:init():687] updated telemetry
2023-03-28 05:11:06,339 INFO    MainThread:206239 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-28 05:11:07,504 INFO    MainThread:206239 [wandb_run.py:_on_init():2134] communicating current version
2023-03-28 05:11:07,986 INFO    MainThread:206239 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.14.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-28 05:11:07,986 INFO    MainThread:206239 [wandb_init.py:init():775] starting run threads in backend
2023-03-28 05:11:08,819 INFO    MainThread:206239 [wandb_run.py:_console_start():2114] atexit reg
2023-03-28 05:11:08,819 INFO    MainThread:206239 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-28 05:11:08,819 INFO    MainThread:206239 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-28 05:11:08,819 INFO    MainThread:206239 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-28 05:11:08,820 INFO    MainThread:206239 [wandb_init.py:init():817] run started, returning control to user process
